Кузов;Модель;VIN;Цвет кузова;Год;Специальная цена
T15;BMW X5 xDrive 40d M Sport Experience;X4XKS694500W54443;Черный Сапфир металлик;2 018;4 790 000
T15;BMW X5 xDrive40d M Sport ;X4XKS694900W54428;Серый Космос металлик ;2 018;4 590 000
T15;BMW X5 xDrive40d M Sport;X4XKS694300W54294;Черный Сапфир металлик;2 018;4 590 000
F90;BMW M5;WBSJF01010G966679;Синий Марина Бэй металлик ;2 018;8 100 000
T16;BMW X6 xDrive30d M Sport ;X4XKV294800W50838;Серый Космос металлик ;2 018;4 410 000
T16;BMW X6 xDrive30d M Sport ;X4XKV294300W50858;Черный Сапфир металлик;2 018;4 410 000
T16;BMW X6 xDrive30d M Sport;X4XKV294X00W51070;Серый Космос металлик;2 018;4 410 000
T16;BMW X6 xDrive30d Pure Extravagance;X4XKV294000W50994;Черный Сапфир металлик;2 018;5 660 000
T16;BMW X6 xDrive40d M Sport ;X4XKV49410LB33202;Черный Карбон;2 018;4 760 000
T16;BMW X6 xDrive40d M Sport ;X4XKV49420LB33127;Черный Карбон ;2 018;4 760 000
T16;BWM X6 xDrive40d M Sport Extravagance;X4XKV494X0LB33232;Белый минерал металлик ;2 018;4 990 000
F82;BMW M4 Coupe;WBS4Y91060AC56937;Синий Сан-Марино;2 018;5 520 000
G30ЛС;BMW 520D xDrive M Sport;X4XJC59440WB56141;Черный Сапфир металлик;2 018;3 130 000
G30ЛС;BMW 520d xDrive Exclusive;X4XJC59430WB56101;Синий имперский металлик с бри;2 018;3 190 000
G30ЛС;BMW 530i xDrive M Sport;X4XJA79410WB53330;Серый Гранит металлик;2 018;3 410 000
G01ЛС;BMW X3 xDrive20i Luxury;X4XKJ59450LE22830;Белый минерал металлик ;2 018;3 022 780
G02;BMW X4 xDrive30i M Sport Х Launch  ;WBAUJ31060LF98513;Синий Фитоник ;2 018;Звоните
G02;BMW X4 xDrive20i;WBAUJ11010LG36833;Черный Сапфир металлик;2 018;Звоните
G02;BMW X4 xDrive20d;WBAVJ11020LF58728;Черный Карбон ;2 018;Звоните
T15;BMW X5 xDrive30d M Sport;X4XKS494600X76149;Белый минерал металлик ;2 018;4 190 000
F85;BMW X5 M;WBSKT610200Z73469;Черный Сапфир металлик;2 018;7 890 000
F86;BMW X6 M;WBSKW81090LE80988;Черный Сапфир металлик;2 018;8 170 000
F16;BMW X6 M50d;WBAKV610400W37823;Черный Сапфир металлик;2 018;6 900 000
T15;BMW X5 xDrive 25d Business;X4XKT294500Z94181;Синий имперский металлик с бри;2 018;3 890 000
T16;BMW X6 xDrive30d M Sport Pure;X4XKV294100W51278;Белый минерал металлик ;2 018;4 560 000
T30;BMW 320i SE;4185219;Черный Сапфир металлик;2 018;1 990 000
T30;BMW 320i xDrive M Sport;4187028;Красный Мельбурн металлик;2 018;2 440 000
G30ЛС;BMW 520d Sport Line;4187112;Черный Сапфир металлик;2 018;2 870 000
G30ЛС;BMW 520D xDrive M Sport;4187155;Черный Карбон;2 018;3 130 000
G30ЛС;BMW 530i xDrive M Sport;4187080;Черный Сапфир металлик;2 018;3 410 000
G30ЛС;BMW 530d xDrive M Sport;4185403;Серый Гранит металлик;2 018;3 920 000
G30ЛС;BMW 530d xDrive M Sport;4187255;Серый Гранит металлик;2 018;3 980 000
G11ЛС;BMW 740d xDrive M Sport;4185136;Черный Сапфир металлик;2 018;6 400 000
T48;BMW X1 xDrive20i Advantage;4185512;Белый минерал металлик ;2 018;2 340 000
T48;BMW X1 xDrive20i Advantage;4187307;Средиземноморский Синий;2 018;2 340 000
G01ЛС;BMW X3 xDrive20d M Sport;4184193;Серебристый Ледник;2 018;3 130 000
G01ЛС;BMW X3 xDrive20d M Sport;4185580;Синий Фитоник;2 018;3 225 000
G01ЛС;BMW X3 xDrive20d Urban;4185679;Серый Софисто с бриллиантовым;2 018;2 940 000
G01ЛС;BMW X3 xDrive20i Luxury;4184273;Синий Фитоник;2 018;3 022 780
G01ЛС;BMW X3 xDrive20i Luxury;4185705;Синий Фитоник;2 018;3 100 000
G01ЛС;BMW X3 xDrive20i Luxury;4185734;Черный Сапфир металлик;2 018;3 100 000
G01ЛС;BMW X3 xDrive20i Urban;4184330;Черный Сапфир металлик;2 018;2 819 269
G01ЛС;BMW X3 xDrive20i Urban;4185750;Белоснежный;2 018;2 880 000
G01ЛС;BMW X3 xDrive30d M Sport;4185820;Серебристый Ледник;2 018;3 750 000
G01ЛС;BMW X3 xDrive30d M Sport;4185830;Черный Карбон;2 018;3 750 000
T15;BMW X5 xDrive 25d Business;4184852;Белый минерал металлик ;2 018;3 890 000
T15;BMW X5 xDrive 25d Business;4186273;Черный Сапфир металлик;2 018;3 970 000
T15;BMW X5 xDrive 25d Business;4186344;Белый минерал металлик ;2 018;3 970 000
T15;BMW X5 xDrive 25d Business;4186400;Серый Софисто с бриллиантовым;2 018;3 970 000
T15;BMW X5 xDrive 25d Business;4186424;Синий имперский металлик с бри;2 018;3 970 000
T15;BMW X5 xDrive 40d M Sport Experience;4186173;Белый минерал металлик ;2 018;5 450 000
T15;BMW X5 xDrive30d M Sport;4185972;Черный Карбон;2 018;4 670 000
T15;BMW X5 xDrive30d M Sport;4186028;Черный Сапфир металлик;2 018;4 670 000
T15;BMW X5 xDrive30d M Sport;4186085;Белый минерал металлик ;2 018;4 670 000
