Кузов;Модель;VIN;Цвет кузова;Год;РРЦ
F90;BMW M5;WBSJF01010G966679;Синий Марина Бэй металлик ;2 018;8 265 977,99  
G01;BMW X3 xDrive30d  Luxury;WBATX71010LG17986;Черный Сапфир металлик ;2 019;4 150 000,00  
G30;BMW 520d xDrive  Business SE;WBAJC51020G862843;Черный Сапфир металлик ;2 019;3 220 000,00  
F20;BMW 118i 5-doors;WBA1R510307D38988;Средиземноморский Синий;2 019;1 999 699,99  
F34;BMW 320i xDrive Gran Turismo;WBA8X51000B237454;Черный Сапфир металлик;2 019;3 157 000,00  
F34;BMW 320d xDrive Gran Turismo;WBA8T51040B455974;Белый минерал металлик;2 019;3 178 200,00  
G30;BMW 530i xDrive M Sport Pro;WBAJR71070WW24356;Серый Софисто с бриллиантовым;2 019;4 088 700,00  
G30;BMW 530i xDrive M Sport Pro;WBAJR71010BJ17430;Белоснежный;2 019;3 982 300,01  
G30;BMW 530d xDrive M Sport SE;WBAJD11000B199677;Серый Софисто с бриллиантовым;2 019;4 420 000,00  
G30;BMW 530d xDrive M Sport SE ;WBAJD11000B199680;Черный Сапфир металлик ;2 019;4 420 000,00  
F48ЛС;BMW X1 xDrive18d Advantage;X4XHT99450EC46801;Серый минерал;2 019;2 600 000,00  
F48ЛС;BMW X1 xDrive20i M Sport;X4XJG59470EK30725;Синий Эшторил;2 019;2 800 000,00  
G01ЛС;BMW X3 xDrive20d xLine;X4XKJ39480LB10960;Белый минерал металлик;2 019;3 680 000,00  
G01;BMW X3 xDrive20d M Sport SE;WBATX31000LF54128;Синий Фитоник;2 019;3 550 000,00  
G01;BMW X3 xDrive20d M Sport SE;WBATX31070LF54207;Черный Сапфир металлик;2 019;3 550 000,00  
G01;BMW X3 xDrive30d Luxury;WBATX71010LG19074;Синий Фитоник;2 019;4 150 000,00  
G02ЛС;BMW X4 xDrive20d M Sport;X4XVJ19480LF44944;Белоснежный;2 019;3 870 000,00  
G02ЛС;BMW X4 xDrive20d xLine;X4XVJ19450LF44934;Синий Фитоник;2 019;3 780 000,00  
F16;BMW X6 xDrive30d M Sport;WBAKV210900Z84699;Голубой Long Beach;2 019;5 890 000,00  
F16;BMW X6 xDrive30d M Sport;WBAKV210700Z84748;Черный Карбон;2 019;5 890 000,00  
F16;BMW X6 xDrive30d M Sport;WBAKV210500Z84747;Черный Карбон;2 019;5 890 000,00  
F16;BMW X6 xDrive30d M Sport Pure;WBAKV210400Z84772;Серый Космос металлик ;2 019;5 280 000,00  
F16ЛС;BMW X6 xDrive40d M Sport Extravagance;X4XKV49440LB33422;Черный Карбон;2 019;6 420 000,00  
F16;BMW X6 xDrive40d M Sport;WBAKV410300Z75069;Черный Сапфир металлик ;2 019;7 355 800,00  
F34;BMW 320i xDrive Gran Turismo;WBA8X51000B237227;Красный Мельбурн металлик;2 018;3 392 000,00  
F34;BMW 320i xDrive Gran Turismo;WBA8X51020B237410;Серый минерал;2 018;3 072 700,01  
F32;BMW 420d xDrive Купе M Sport;WBA4X51060A770171;Белоснежный ;2 018;3 693 000,00  
G32;BMW 640i xDrive Gran Turismo M Sport  ;WBAJV61080BL17162;Белый Минерал металлик ;2 018;6 042 099,98  
G32;BMW 640d xDrive Gran Turismo M Sport;WBAJW01080BP40883;Серый Гранит металлик;2 018;6 061 300,01  
G12;BMW 730Ld xDrive Limousine;WBA7G610X0B244624;Черный Сапфир металлик;2 018;8 990 100,01  
G12;BMW 730Ld xDrive Sedan;WBA7G61070B244662;Серый Сингапур;2 018;9 262 500,00  
F48ЛС;BMW X1 xDrive18d Advantage;X4XHT99490EC46736;Черный Сапфир металлик;2 018;2 600 000,00  
F16;BMW X6 xDrive40d M Sport;WBAKV410800Z75052;Белый минерал металлик;2 019;7 355 800,00  
G20;BMW 320d M Sport Plus Launch;WBA5V51020AJ52520;Белый минерал металлик ;2 019;3 094 299,99  
G20;BMW 320d M Sport Plus Launch;WBA5V51080AJ53848;Синий Портимау;2 019;3 182 700,00  
G20;BMW 320d M Sport Pure Launch;WBA5V51060AJ52519;Черный Сапфир металлик;2 019;2 974 300,00  
G20;BMW 320d xDrive M Sport Pure Launch;WBA5V71040AH88953;Синий Портимау;2 019;3 114 300,00  
G20;BMW 320d xDrive M Sport Pro;WBA5V710X0AE83571;Синий Портимау;2 019;3 450 500,00  
G20;BMW 320d xDrive M Sport Pure Launch;WBA5V71050AH93434;Синий Портимау;2 019;3 059 600,00  
G20;BMW 320d xDrive M Sport Pro;WBA5V71040AH93098;Серый минерал;2 019;3 330 000,00  
G20;BMW 320d M Sport Pure Launch ;WBA5V51080AJ55132;Черный Сапфир металлик;2 019;2 877 000,00  
G20;BMW 320d M Sport Pure Launch;WBA5V51010AJ55084;Белоснежный;2 019;2 997 899,99  
G20;BMW 320d xDrive M Sport Plus Launch;WBA5V71060AH93622;Серый Дравит металлик;2 019;3 418 900,00  
G20;BMW 320d xDrive M Sport Pro;WBA5V71030AH93626;Синий Портимау;2 019;3 491 800,01  
G20;BMW 320d M Sport Pro;WBA5V510X0AJ55276;Серый Дравит металлик;2 019;3 352 600,00  
G15;BMW 840d xDrive Coup?;WBABC21030BT80429;Белый минерал металлик;2 019;8 384 699,99  
